COMPANY,ticker,ticker1
3M India Ltd,523395,3MINDIA.NS
Aarti Industries Ltd.,524208,AARTIIND.NS
ABB India Ltd,500002,ABB.NS
Abbott India Ltd,500488,ABBOTINDIA.NS
ACC Ltd,500410,ACC.NS
Adani Green Energy Ltd,541450,ADANIGREEN.NS
Adani Ports and Special Economic Zone,532921,ADANIPORTS.NS
Adani Power Ltd,533096,ADANIPOWER.NS
Adani Transmission Ltd,539254,ADANITRANS.NS
Aditya Birla Capital Ltd,540691,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd,535755,ABFRL.NS
Advanced Enzyme Technologies Ltd,540025,ADVENZYMES.NS
AIA Engineering Ltd,532683,AIAENG.NS
Ajanta Pharma Ltd,532331,AJANTPHARM.NS
Akzo Nobel India Ltd,500710,AKZOINDIA.NS
Alembic Pharmaceuticals Ltd,533573,APLLTD.NS
Alkem Laboratories Ltd,539523,ALKEM.NS
AllCargo Logistics Ltd,532749,ALLCARGO.NS
Amara Raja Batteries Ltd,500008,AMARAJABAT.NS
Ambuja Cements Ltd,500425,AMBUJACEM.NS
Apar Industries Ltd,532259,APARINDS.NS
Apollo Hospitals Enterprise Ltd,508869,APOLLOHOSP.NS
Apollo Tyres Ltd,500877,APOLLOTYRE.NS
Asahi India Glass Ltd,515030,ASAHIINDIA.NS
Ashok Leyland Ltd,500477,ASHOKLEY.NS
Ashoka Buildcon Ltd,533271,ASHOKA.NS
Asian Paints Ltd,500820,ASIANPAINT.NS
Aster DM Healthcare Ltd,540975,ASTERDM.NS
Astral Polytechnik Ltd,532830,ASTRAL.NS
AstraZeneca Pharm India,506820,ASTRAZEN.NS
Atul Ltd.,500027,ATUL.NS
AU Small Finance Bank Ltd,540611,AUBANK.NS
Aurobindo Pharma Ltd,524804,AUROPHARMA.NS
Avenue Supermarts Ltd,540376,DMART.NS
Axis Bank Ltd,532215,AXISBANK.NS
Bajaj Auto Ltd,532977,BAJAJ-AUTO.NS
Bajaj Consumer Care Ltd,533229,BAJAJCON.NS
Bajaj Electricals Ltd,500031,BAJAJELEC.NS
Bajaj Finance Ltd,500034,BAJFINANCE.NS
Bajaj Finserv Ltd,532978,BAJAJFINSV.NS
Bajaj Holdings and Investment Ltd,500490,BAJAJHLDNG.NS
Balkrishna Industries Ltd,502355,BALKRISIND.NS
Balmer Lawrie & Co. Ltd.,523319,BALMLAWRIE.NS
Bandhan Bank Ltd,541153,BANDHANBNK.NS
Bank of Baroda,532134,BANKBARODA.NS
Bank of India,532149,BANKINDIA.NS
Bank Of Maharashtra,532525,MAHABANK.NS
BASF India Limited,500042,BASF.NS
Bata India Limited,500043,BATAINDIA.NS
Bayer CropScience Ltd/India,506285,BAYERCROP.NS
BEML Ltd,500048,BEML.NS
Berger Paints India Ltd,509480,BERGEPAINT.NS
Bharat Dynamics Ltd,541143,BDL.NS
Bharat Electronics Ltd,500049,BEL.NS
Bharat Forge Ltd,500493,BHARATFORG.NS
Bharat Heavy Electricals Ltd,500103,BHEL.NS
Bharat Petroleum Corp Ltd,500547,BPCL.NS
Bharti Airtel Ltd,532454,BHARTIARTL.NS
Bharti Infratel Ltd.,534816,INDUSTOWER.NS
Biocon Ltd,532523,BIOCON.NS
Birla Corp Ltd,500335,BIRLACORPN.NS
Bliss Gvs Pharma Ltd,506197,BLISSGVS.NS
Blue Dart Express Ltd,526612,BLUEDART.NS
Blue Star Ltd,500067,BLUESTARCO.NS
Bombay Burmah Trading Corp Ltd.,501425,BBTC.NS
Bombay Dyeing & Manufacturing Co Ltd,500020,BOMDYEING.NS
Bosch Ltd,500530,BOSCHLTD.NS
Britannia Industries Ltd.,500825,BRITANNIA.NS
Cadila Healthcare Ltd,532321,CADILAHC.NS
Can Fin Homes Ltd,511196,CANFINHOME.NS
Canara Bank,532483,CANBK.NS
Carborundum Universal Ltd,513375,CARBORUNIV.NS
CARE Ratings Ltd,534804,CARERATING.NS
Castrol India Ltd,500870,CASTROLIND.NS
